code,mets,major_heading,activity,flag,mhn,reason
1003.0,14.0,bicycling,"bicycling, mountain, uphill, vigorous",,"1,4,5","Represents self-expression, challenge, or personal fulfillment."
1004.0,16.0,bicycling,"bicycling, mountain, competitive, racing",,4,"Involves achievement, recognition, or building self-esteem."
1008.0,8.5,bicycling,"bicycling, BMX",,"3,4,5",General physical activity contributing to health and body needs.
1009.0,8.5,bicycling,"bicycling, mountain, general",,5,"Represents self-expression, challenge, or personal fulfillment."
1010.0,4.0,bicycling,"bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",,5,Supports basic physical functioning and body maintenance.
1011.0,6.8,bicycling,"bicycling, to/from work, self selected pace",,1,"Related to maintaining safety, stability, or health security."
1013.0,5.8,bicycling,"bicycling, on dirt or farm road, moderate pace",,"1,5",General physical activity contributing to health and body needs.
1015.0,7.5,bicycling,"bicycling, general",,5,General physical activity contributing to health and body needs.
1018.0,3.5,bicycling,"bicycling, leisure, 5.5 mph",,5,Supports basic physical functioning and body maintenance.
1019.0,5.8,bicycling,"bicycling, leisure, 9.4 mph",,5,Supports basic physical functioning and body maintenance.
1020.0,6.8,bicycling,"bicycling, 10-11.9 mph, leisure, slow, light effort",,5,Supports basic physical functioning and body maintenance.
1030.0,8.0,bicycling,"bicycling, 12-13.9 mph, leisure, moderate effort",,5,Supports basic physical functioning and body maintenance.
1040.0,10.0,bicycling,"bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",,4,Supports basic physical functioning and body maintenance.
1050.0,12.0,bicycling,"bicycling, 16-19 mph, racing/not drafting or > 19 mph drafting, very fast, racing general",,"1,3,4,5","Involves achievement, recognition, or building self-esteem."
1060.0,15.8,bicycling,"bicycling, > 20 mph, racing, not drafting",,"4,5","Involves achievement, recognition, or building self-esteem."
1065.0,8.5,bicycling,"bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",,5,Supports basic physical functioning and body maintenance.
1066.0,9.0,bicycling,"bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",,1,General physical activity contributing to health and body needs.
1070.0,5.0,bicycling,unicycling,,5,General physical activity contributing to health and body needs.
2001.0,2.3,conditioning exercise,"activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga)",,1,Supports basic physical functioning and body maintenance.
2003.0,3.8,conditioning exercise,"activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance)",,1,General physical activity contributing to health and body needs.
2005.0,7.2,conditioning exercise,"activity promoting video/arcade game (e.g., Exergaming, Dance Dance Revolution), vigorous effort",,1,Involves social connection or group belonging.
2008.0,5.0,conditioning exercise,"army type obstacle course exercise, boot camp training program",,1,"Related to maintaining safety, stability, or health security."
2010.0,7.0,conditioning exercise,"bicycling, stationary, general",,1,General physical activity contributing to health and body needs.
2011.0,3.5,conditioning exercise,"bicycling, stationary, 30-50 watts, very light to light effort",,1,Supports basic physical functioning and body maintenance.
2012.0,6.8,conditioning exercise,"bicycling, stationary, 90-100 watts, moderate to vigorous effort",,1,General physical activity contributing to health and body needs.
2013.0,8.8,conditioning exercise,"bicycling, stationary, 101-160 watts, vigorous effort",,1,General physical activity contributing to health and body needs.
2014.0,11.0,conditioning exercise,"bicycling, stationary, 161-200 watts, vigorous effort",,1,General physical activity contributing to health and body needs.
2015.0,14.0,conditioning exercise,"bicycling, stationary, 201-270 watts, very vigorous effort",,1,General physical activity contributing to health and body needs.
2017.0,4.8,conditioning exercise,"bicycling, stationary, 51-89 watts, light-to-moderate effort",,1,Supports basic physical functioning and body maintenance.
2019.0,8.5,conditioning exercise,"bicycling, stationary, RPM/Spin bike class",,2,General physical activity contributing to health and body needs.
2020.0,8.0,conditioning exercise,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",,1,General physical activity contributing to health and body needs.
2022.0,3.8,conditioning exercise,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",,1,General physical activity contributing to health and body needs.
2024.0,2.8,conditioning exercise,"calisthenics (e.g., situps, abdominal crunches), light effort",,1,Supports basic physical functioning and body maintenance.
2030.0,3.5,conditioning exercise,"calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)",,1,Supports basic physical functioning and body maintenance.
2035.0,4.3,conditioning exercise,"circuit training, moderate effort",,1,"Related to maintaining safety, stability, or health security."
2040.0,8.0,conditioning exercise,"circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",,1,Supports basic physical functioning and body maintenance.
2045.0,3.5,conditioning exercise,CurvesTM exercise routines in women,,"1,3",General physical activity contributing to health and body needs.
2048.0,5.0,conditioning exercise,"Elliptical trainer, moderate effort",,1,General physical activity contributing to health and body needs.
2050.0,6.0,conditioning exercise,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort (Taylor Code 210)",,1,"Related to maintaining safety, stability, or health security."
2052.0,5.0,conditioning exercise,"resistance (weight) training, squats , slow or explosive effort",,"1,4",Supports basic physical functioning and body maintenance.
2054.0,3.5,conditioning exercise,"resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance",,1,"Related to maintaining safety, stability, or health security."
